Name,Equities,pct,id,Ranking,Sector1,Sector2,Indice
L'Oréal S.A.,118227307,9.43,SANOFI-SA,1,Healthcare,Pharmaceuticals - NEC, CAC40
"The Vanguard Group, Inc.",33055380,2.64,SANOFI-SA,2,Healthcare,Pharmaceuticals - NEC, CAC40
Norges Bank Investment Management,26690482,2.13,SANOFI-SA,3,Healthcare,Pharmaceuticals - NEC, CAC40
Plan d'Epargne Entreprise Sanofi Synthelabo,20371851,1.62,SANOFI-SA,4,Healthcare,Pharmaceuticals - NEC, CAC40
Fidelity Management & Research Co.,19855464,1.58,SANOFI-SA,5,Healthcare,Pharmaceuticals - NEC, CAC40
Dodge & Cox,17391749,1.39,SANOFI-SA,6,Healthcare,Pharmaceuticals - NEC, CAC40
Lyxor International Asset Management SAS,15287867,1.22,SANOFI-SA,7,Healthcare,Pharmaceuticals - NEC, CAC40
Amundi Asset Management SA (Investment Management),14404016,1.15,SANOFI-SA,8,Healthcare,Pharmaceuticals - NEC, CAC40
Schroder Investment Management Ltd.,11023303,0.88,SANOFI-SA,9,Healthcare,Pharmaceuticals - NEC, CAC40
BNP Paribas Asset Management France SAS,10637430,0.85,SANOFI-SA,10,Healthcare,Pharmaceuticals - NEC, CAC40
Christian Dior SE,207962425,41.2,LVMH-MOET-HENNESSY-LOUI,1,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Arnault Family,31352110,6.21,LVMH-MOET-HENNESSY-LOUI,2,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Capital Research & Management Co. (World Investors),8841954,1.75,LVMH-MOET-HENNESSY-LOUI,3,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
"The Vanguard Group, Inc.",7702908,1.53,LVMH-MOET-HENNESSY-LOUI,4,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Norges Bank Investment Management,6075728,1.2,LVMH-MOET-HENNESSY-LOUI,5,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
"Thornburg Investment Management, Inc.",5777716,1.14,LVMH-MOET-HENNESSY-LOUI,6,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Capital Research & Management Co. (Global Investors),5761685,1.14,LVMH-MOET-HENNESSY-LOUI,7,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Fidelity Management & Research Co.,4568536,0.9,LVMH-MOET-HENNESSY-LOUI,8,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Massachusetts Financial Services Co.,3807454,0.75,LVMH-MOET-HENNESSY-LOUI,9,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Amundi Asset Management SA (Investment Management),3255633,0.64,LVMH-MOET-HENNESSY-LOUI,10,Consumer Cyclical,Apparel & Accessories - NEC, CAC40
Total SA Employee Stock Ownership Plans,137993878,5.3,TOTAL-SE,1,Energy,Integrated Oil & Gas, CAC40
"The Vanguard Group, Inc.",75825923,2.91,TOTAL-SE,2,Energy,Integrated Oil & Gas, CAC40
Norges Bank Investment Management,60713171,2.33,TOTAL-SE,3,Energy,Integrated Oil & Gas, CAC40
Amundi Asset Management SA (Investment Management),34154477,1.31,TOTAL-SE,4,Energy,Integrated Oil & Gas, CAC40
Wellington Management Co. LLP,32414342,1.25,TOTAL-SE,5,Energy,Integrated Oil & Gas, CAC40
Lyxor International Asset Management SAS,29909365,1.15,TOTAL-SE,6,Energy,Integrated Oil & Gas, CAC40
"T. Rowe Price Associates, Inc. (Investment Management)",28585692,1.1,TOTAL-SE,7,Energy,Integrated Oil & Gas, CAC40
Dodge & Cox,22691249,0.87,TOTAL-SE,8,Energy,Integrated Oil & Gas, CAC40
BlackRock Advisors (UK) Ltd.,21809982,0.84,TOTAL-SE,9,Energy,Integrated Oil & Gas, CAC40
Capital Research & Management Co. (Global Investors),21291257,0.82,TOTAL-SE,10,Energy,Integrated Oil & Gas, CAC40
